# Result of the experimentation: segment6.arg

# With args:
# --> x_size = 200
# --> y_size = 200
# --> init_time_step = 1e-07
# --> space_step = 0.0001
# --> CBL_cond = 100
# --> iter_number_solver = 100
# --> iter_number_prothis->filer = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 2
# --> ->abs = 100
# --> ->abs = 199
# --> ->ord = 170
# --> ->ord = 150
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.06
# --> mol_mass = 0.018
# --> dyn_visc = 1e-05
# --> init_chamber_pressure = 161661
# --> init_chamber_temperature = 350
# --> init_chamber_speed = -1
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-05
# --> init_atmosphere_turb_dis = 1e-05

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

                 0             1e-07                 0            161661               350         0.9999993                 0                 1             1e-05             1e-05
             1e-07             1e-07                 0            161661               350         0.9999993      2.384632e-05          1.370666      1.017114e-05      1.024815e-05
             2e-07             1e-07                 0            161661               350         0.9999993        0.05337326          1.749844      1.051685e-05      1.075323e-05
             3e-07             1e-07                 0            161661               350         0.9999993         0.1815683          2.127298      1.109683e-05       1.16131e-05
             4e-07             1e-07                 0            161661               350         0.9999993         0.3970273          2.503027      1.197418e-05      1.294442e-05
             5e-07             1e-07                 0            161661               350         0.9999993         0.6995027          2.877207       1.32251e-05      1.490521e-05
             6e-07      8.332884e-08                 0            161661               350         0.9999993          1.074467          3.293352      1.495455e-05       1.77315e-05
      6.833288e-07      6.148565e-08                 0            161661               350         0.9999993          1.494379          3.745769      1.731766e-05      2.179447e-05
      7.448145e-07      4.601284e-08                 0            161661               350         0.9999993           1.92309          4.246738      2.054698e-05      2.768815e-05
      7.908273e-07      3.512175e-08                 0            161661               350         0.9999993          2.322883          4.803811      2.498775e-05      3.636702e-05
      8.259491e-07      2.746848e-08                 0            161661               350         0.9999993          2.662811          5.414314      3.114841e-05      4.937224e-05
      8.534176e-07      2.206893e-08                 0            161661               350         0.9999993          2.926373          6.062088      3.978356e-05       6.92277e-05
      8.754865e-07      1.823704e-08                 0            161661               350         0.9999993          3.116302            6.7173      5.204151e-05      0.0001001738
      8.937235e-07      1.550986e-08                 0            161661               350         0.9999993          3.254646          7.340463      6.973512e-05        0.00014959
      9.092334e-07       1.35739e-08                 0            161661               350         0.9999993          3.377325          7.890785      9.584537e-05      0.0002308609
      9.228073e-07      1.216449e-08                 0            161661               350         0.9999993          3.527702          8.352355      0.0001354834      0.0003694011
      9.349718e-07      1.109463e-08                 0            161661               350         0.9999993          3.731741          8.729709      0.0001978329      0.0006160795
      9.460664e-07      1.015767e-08                 0            161661               350         0.9999993          3.999846          9.080146      0.0003004066       0.001079587
      9.562241e-07      9.163487e-09                 0            161661               350         0.9999993          4.318763          9.511943      0.0004793899       0.002012916
      9.653876e-07      8.286914e-09                 0            161661               350         0.9999993          4.650053          9.952346      0.0008180847       0.004076397
      9.736745e-07      7.634954e-09                 0            161661               350         0.9999993          4.939756          10.32353       0.001537579       0.009277866
      9.813094e-07      7.145369e-09                 0            161661               350         0.9999993          5.135667          10.65719       0.003337577        0.02503406
      9.884548e-07       6.65347e-09                 0            161661               350         0.9999993          5.311512          11.04922       0.008855625        0.08506778
      9.951083e-07       5.80318e-09                 0            161661               350         0.9999993          5.606349          11.86963        0.02845063         0.3580667
      1.000911e-06      5.055592e-09                 0            161661               350         0.9999993          5.830745          12.79856        0.09771546          1.560893
      1.005967e-06      4.516935e-09                 0            161661               350         0.9999993          5.960906          13.63293         0.3680729          7.823927
      1.010484e-06      4.194589e-09                 0            161661               350         0.9999993          5.990862          14.23067          1.208086           33.7245
      1.014679e-06      4.045264e-09                 0            161661               350         0.9999993          5.928202          14.56225          3.460876          125.0144
      1.018724e-06      3.833222e-09                 0            161661               350         0.9999993          5.775569          15.08376          8.683937          399.4719
      1.022557e-06      3.637193e-09                 0            161661               350         0.9999993          6.441823          15.27875          18.94465          1089.894
      1.026194e-06      3.501121e-09                 0            161661               350          1.000933           7.00166          15.38179           35.2178          2477.693
      1.029695e-06       3.47255e-09                 0            161683               350          1.001498          7.181703          15.37517          54.52838          4553.853
      1.033168e-06      3.274393e-09                 0            161661               350          1.001059          6.762994          16.11403          70.72186           6747.95
      1.036442e-06      2.615072e-10                 0          161822.4               350          1.002084          42.59682          44.82742          82.00493          8589.967
      1.036704e-06      2.436278e-16                 0          686499.9          1590.932          1.003481          47437.21          43061.98           6711635            397947
      1.036704e-06      2.407068e-32                 0       2.52933e+13      5.912471e+10          21.03961      4.629164e+12      4.484993e+12      1.571498e+17      1.351073e+16
      1.036704e-06      2.401082e-71                 0      9.193704e+33       2.85978e+31      2.143737e+09      9.094087e+31      1.826955e+32      5.039176e+36      6.281922e+35
      1.036704e-06     4.545393e-146                 0        1.2068e+92      7.683083e+70      1.824066e+28      1.866365e+69      4.303136e+69      3.600998e+83      6.509144e+82
      1.036704e-06     2.676311e-293                 0     1.214126e+213     6.508181e+154       2.09243e+74     1.929189e+143     1.213154e+142     2.395276e+176     6.278046e+175
